Connecting to IBKR...
Successfully connected to IBKR on port 7497!
[IBKR Sync] Live Account Net Liquidation: $3052.56

===================================================================================================================
    INTELLIGENT FPBV BOT SCAN: PHASE 2 | CASH: $3052.56 | DEBT PAID: True
===================================================================================================================

===================================================================================================================
Ticker   | Close    | RSI    | EMA_20   | Signal          | Trade Details
-------------------------------------------------------------------------------------------------------------------
SOXL     | $266.85  | 70.9   | $205.25  | HOLD            | No trade setup.
TQQQ     | $85.78   | 65.3   | $78.84   | HOLD            | No trade setup.
NVDA     | $219.85  | 37.1   | $216.12  | HOLD            | No trade setup.
AVGO     | $422.36  | 44.7   | $432.44  | HOLD            | No trade setup.
ENPH     | $69.75   | 70.2   | $58.36   | HOLD            | No trade setup.
RYCEY    | $17.01   | 59.9   | $16.79   | HOLD            | No trade setup.
GME      | $22.39   | 58.7   | $22.29   | HOLD            | No trade setup.
MVIS     | $0.44    | 29.2   | $0.57    | HOLD            | No trade setup.
VRT      | $324.89  | 27.8   | $328.60  | HOLD            | No trade setup.
HUBB     | $483.81  | 51.7   | $482.45  | HOLD            | No trade setup.
PH       | $871.28  | 46.6   | $866.43  | HOLD            | No trade setup.
HWM      | $248.85  | 28.5   | $255.62  | HOLD            | No trade setup.
ABT      | $90.11   | 66.9   | $87.81   | HOLD            | No trade setup.
AFL      | $115.24  | 47.8   | $114.64  | HOLD            | No trade setup.
ADBE     | $259.64  | 62.0   | $251.95  | HOLD            | No trade setup.
ACN      | $178.37  | 61.5   | $180.14  | HOLD            | No trade setup.
ABNB     | $133.47  | 49.6   | $134.76  | HOLD            | No trade setup.
A        | $138.09  | 87.7   | $124.37  | HOLD            | No trade setup.
GOOGL    | $372.07  | 30.0   | $377.45  | HOLD            | No trade setup.
AOS      | $56.85   | 44.1   | $57.88   | HOLD            | No trade setup.
ALGN     | $166.41  | 56.1   | $167.23  | HOLD            | No trade setup.
ABBV     | $224.43  | 69.0   | $213.66  | HOLD            | No trade setup.
ALLE     | $130.03  | 47.1   | $131.64  | HOLD            | No trade setup.
AMD      | $525.85  | 67.8   | $467.48  | HOLD            | No trade setup.
ALL      | $210.27  | 43.4   | $211.80  | HOLD            | No trade setup.
AMZN     | $253.68  | 38.3   | $262.07  | HOLD            | No trade setup.
MO       | $70.61   | 41.0   | $70.82   | HOLD            | No trade setup.
GOOG     | $368.87  | 29.2   | $374.01  | HOLD            | No trade setup.
AIG      | $73.32   | 40.4   | $75.34   | HOLD            | No trade setup.
AAPL     | $311.48  | 66.1   | $302.15  | HOLD            | No trade setup.
AME      | $229.12  | 45.7   | $227.67  | HOLD            | No trade setup.
ADI      | $427.97  | 50.8   | $411.45  | HOLD            | No trade setup.
APH      | $146.85  | 69.4   | $139.33  | HOLD            | No trade setup.
AON      | $320.86  | 56.3   | $318.97  | HOLD            | No trade setup.
AMP      | $455.16  | 38.2   | $453.97  | HOLD            | No trade setup.
AMAT     | $504.14  | 72.2   | $448.59  | HOLD            | No trade setup.
APA      | $38.11   | 54.4   | $38.01   | HOLD            | No trade setup.
APP      | $561.57  | 66.1   | $533.95  | HOLD            | No trade setup.
ACGL     | $88.63   | 32.7   | $92.13   | HOLD            | No trade setup.
ANET     | $166.87  | 66.4   | $158.41  | HOLD            | No trade setup.
ADSK     | $233.15  | 49.5   | $238.14  | HOLD            | No trade setup.
AJG      | $209.08  | 64.8   | $204.85  | HOLD            | No trade setup.
BKR      | $65.97   | 54.0   | $64.92   | HOLD            | No trade setup.
T        | $22.69   | 29.9   | $24.71   | HOLD            | No trade setup.
AVY      | $152.95  | 38.9   | $158.14  | HOLD            | No trade setup.
ADP      | $231.51  | 70.4   | $220.78  | HOLD            | No trade setup.
TECH     | $52.60   | 76.3   | $49.81   | HOLD            | No trade setup.
BIIB     | $197.58  | 59.1   | $192.91  | HOLD            | No trade setup.
BRK-B    | $476.71  | 41.9   | $477.48  | HOLD            | No trade setup.
BBY      | $70.71   | 73.9   | $66.26   | HOLD            | No trade setup.
BDX      | $149.05  | 61.9   | $147.18  | HOLD            | No trade setup.
BR       | $154.29  | 65.3   | $152.30  | HOLD            | No trade setup.
BKNG     | $167.49  | 72.8   | $165.35  | HOLD            | No trade setup.
BSX      | $48.85   | 36.6   | $52.72   | HOLD            | No trade setup.
BLK      | $1023.24 | 32.9   | $1045.99 | HOLD            | No trade setup.
BRO      | $57.17   | 55.7   | $57.57   | HOLD            | No trade setup.
BF-B     | $25.35   | 42.3   | $25.86   | HOLD            | No trade setup.
CPB      | $21.50   | 70.2   | $20.75   | HOLD            | No trade setup.
CDNS     | $411.19  | 74.2   | $374.53  | HOLD            | No trade setup.
CF       | $117.39  | 40.3   | $119.03  | HOLD            | No trade setup.
CBOE     | $284.10  | 18.9   | $324.52  | HOLD            | No trade setup.
CARR     | $68.57   | 55.3   | $64.98   | HOLD            | No trade setup.
CVNA     | $66.01   | 44.0   | $69.71   | HOLD            | No trade setup.
CRL      | $186.21  | 69.8   | $171.42  | HOLD            | No trade setup.
CASY     | $760.78  | 17.8   | $798.82  | HOLD            | No trade setup.
CVX      | $188.68  | 55.0   | $187.35  | HOLD            | No trade setup.
CHD      | $93.48   | 47.1   | $95.16   | HOLD            | No trade setup.
CB       | $315.16  | 43.8   | $319.74  | HOLD            | No trade setup.
CIEN     | $542.90  | 43.0   | $568.30  | HOLD            | No trade setup.
CME      | $256.14  | 20.9   | $276.58  | HOLD            | No trade setup.
CTSH     | $53.37   | 71.1   | $53.13   | HOLD            | No trade setup.
CSCO     | $129.41  | 71.6   | $115.23  | HOLD            | No trade setup.
KO       | $76.94   | 32.6   | $79.31   | HOLD            | No trade setup.
CINF     | $160.36  | 36.6   | $162.15  | HOLD            | No trade setup.
COIN     | $164.90  | 24.8   | $184.09  | HOLD            | No trade setup.
CTAS     | $179.92  | 73.7   | $172.47  | HOLD            | No trade setup.
CMCSA    | $23.26   | 23.3   | $25.12   | HOLD            | No trade setup.
FIX      | $1927.92 | 40.4   | $1861.95 | HOLD            | No trade setup.
COP      | $118.75  | 49.5   | $118.54  | HOLD            | No trade setup.
CPRT     | $30.75   | 38.9   | $32.52   | HOLD            | No trade setup.
GLW      | $199.06  | 45.4   | $187.39  | HOLD            | No trade setup.
STZ      | $137.02  | 44.2   | $143.41  | HOLD            | No trade setup.
CTVA     | $77.43   | 23.4   | $79.33   | HOLD            | No trade setup.
COO      | $62.44   | 59.3   | $61.57   | HOLD            | No trade setup.
CSGP     | $33.49   | 63.2   | $33.68   | HOLD            | No trade setup.
CRH      | $106.61  | 48.7   | $106.75  | HOLD            | No trade setup.
CRWD     | $718.44  | 71.2   | $648.66  | HOLD            | No trade setup.
CSX      | $45.99   | 51.7   | $45.57   | HOLD            | No trade setup.
CMI      | $679.91  | 41.4   | $665.50  | HOLD            | No trade setup.
DDOG     | $245.33  | 68.3   | $220.15  | HOLD            | No trade setup.
DHR      | $186.46  | 75.5   | $176.40  | HOLD            | No trade setup.
DECK     | $108.58  | 71.9   | $106.07  | HOLD            | No trade setup.
DVN      | $45.92   | 43.9   | $46.62   | HOLD            | No trade setup.
DXCM     | $72.69   | 82.5   | $69.05   | HOLD            | No trade setup.
FANG     | $203.95  | 53.5   | $199.68  | HOLD            | No trade setup.
DASH     | $159.31  | 54.7   | $159.97  | HOLD            | No trade setup.
DOV      | $214.08  | 50.3   | $213.26  | HOLD            | No trade setup.
DHI      | $145.85  | 61.0   | $145.26  | HOLD            | No trade setup.
EBAY     | $109.57  | 43.5   | $110.19  | HOLD            | No trade setup.
ETN      | $419.88  | 55.9   | $404.25  | HOLD            | No trade setup.
EW       | $87.32   | 71.5   | $84.80   | HOLD            | No trade setup.
